nameOrig,Recency,Frequency,MonetarySum,MonetaryAvg
C1000009135,787,0.0,0.0,0.0
C1000015836,643,1.0,77027.49,77027.49
C1000018718,668,1.0,32100.16,32100.16
C100006663,791,0.0,0.0,0.0
C1000071455,764,0.0,0.0,0.0
C1000075512,619,1.0,29971.59,29971.59
C100010044,666,1.0,15198.23,15198.23
C1000110712,499,1.0,230035.73,230035.73
C1000122051,571,1.0,36167.88,36167.88
C1000128758,551,1.0,520401.49,520401.49
C1000144156,435,1.0,237276.63,237276.63
C100014752,455,1.0,222911.63,222911.63
C1000147830,550,1.0,15619.7,15619.7
C1000174363,404,5.0,1039140.903689666,207828.1807379332
C1000188239,459,1.0,227179.0,227179.0
C1000203728,768,0.0,0.0,0.0
C1000204307,554,1.0,418889.16,418889.16
C1000210704,675,1.0,128872.48,128872.48
C1000256268,577,1.0,690.65,690.65
C1000263382,621,3.0,700879.7707203296,233626.59024010986
C1000271888,194,1.0,427779.69,427779.69
C1000326094,475,1.0,75382.62,75382.62
C1000329334,521,1.0,63404.96,63404.96
C1000332040,671,1.0,14507.83,14507.83
C1000344498,402,1.0,137886.6,137886.6
C1000367967,523,1.0,135193.44,135193.44
C1000410166,669,1.0,53748.2,53748.2
C1000412119,641,1.0,98875.63,98875.63
C1000429717,426,1.0,108306.5,108306.5
C1000431259,671,1.0,28399.19,28399.19
C1000432352,701,2.0,30155.998832813442,15077.999416406721
C1000442951,454,1.0,146953.48,146953.48
C1000462180,569,1.0,23551.21,23551.21
C1000462687,409,1.0,23345.07,23345.07
C1000509254,645,1.0,149044.25,149044.25
C1000511083,791,0.0,0.0,0.0
C100052651,620,1.0,160455.03,160455.03
C1000534589,484,1.0,92790.34,92790.34
C1000542694,769,0.0,0.0,0.0
C1000588380,509,1.0,38289.49,38289.49
C1000595798,548,1.0,123078.91,123078.91
C1000599150,765,0.0,0.0,0.0
C1000607791,651,1.0,21216.41,21216.41
C1000610192,424,1.0,21723.59,21723.59
C1000610919,446,1.0,1653195.46,1653195.46
C1000630643,773,0.0,0.0,0.0
C1000637095,508,1.0,4626.66,4626.66
C1000639879,400,1.0,30769.53,30769.53
C100067827,765,0.0,0.0,0.0
C1000726894,788,0.0,0.0,0.0
C1000735423,798,0.0,0.0,0.0
C1000737677,212,1.0,114908.39,114908.39
