nameOrig,last_step,Recency,Frequency,MonetarySum,MonetaryAvg,R_Score,F_Score,M_Score,RFM_Total,Segment
C1000174363,402,404,5.0,1039140.903689666,207828.1807379332,4,4,4,12,Champions (핵심 VIP)
C1001220236,466,340,5.0,303355.8123766104,60671.16247532208,4,4,4,12,Champions (핵심 VIP)
C1002264229,350,456,5.0,536596.4910407796,107319.29820815593,4,4,4,12,Champions (핵심 VIP)
C1002418797,403,403,5.0,432229.228343922,86445.8456687844,4,4,4,12,Champions (핵심 VIP)
C100243332,303,503,4.0,773970.5657306082,193492.64143265205,3,4,4,11,Champions (핵심 VIP)
C1003187286,418,388,4.0,531939.0511250729,132984.76278126822,4,4,4,12,Champions (핵심 VIP)
C1004295532,562,244,3.0,50703.120354919636,16901.040118306544,4,4,3,11,Champions (핵심 VIP)
C1004562219,333,473,3.0,423291.7019583393,141097.2339861131,3,4,4,11,Champions (핵심 VIP)
C1005681532,330,476,3.0,446903.17484386143,148967.7249479538,3,4,4,11,Champions (핵심 VIP)
C1005774807,255,551,4.0,1086708.3407798335,271677.0851949584,3,4,4,11,Champions (핵심 VIP)
C1006534704,356,450,5.0,134651.37799753682,26930.275599507364,4,4,3,11,Champions (핵심 VIP)
C1006631920,451,355,3.0,417083.36827553256,139027.78942517753,4,4,4,12,Champions (핵심 VIP)
C1007397961,468,338,4.0,1430508.5565383637,357627.1391345909,4,4,4,12,Champions (핵심 VIP)
C1009039935,404,402,3.0,135250.7422475434,45083.580749181136,4,4,3,11,Champions (핵심 VIP)
C1009804263,419,387,5.0,48678.166754891805,9735.633350978362,4,4,3,11,Champions (핵심 VIP)
C1010627948,257,549,5.0,465352.80569985294,93070.56113997058,3,4,4,11,Champions (핵심 VIP)
C1010841066,393,413,4.0,289224.30359445896,72306.07589861474,4,4,4,12,Champions (핵심 VIP)
C1010933178,445,361,3.0,638485.3203925062,212828.4401308354,4,4,4,12,Champions (핵심 VIP)
C1011665365,329,477,5.0,607929.8783506171,121585.97567012343,3,4,4,11,Champions (핵심 VIP)
C1011942508,282,524,4.0,632900.5838483336,158225.1459620834,3,4,4,11,Champions (핵심 VIP)
C1012128627,374,432,4.0,169279.94740582973,42319.986851457434,4,4,3,11,Champions (핵심 VIP)
C1012871607,400,406,3.0,128201.63816424701,42733.879388082336,4,4,3,11,Champions (핵심 VIP)
C1013292276,704,102,5.0,70417.44265820617,14083.488531641235,4,4,3,11,Champions (핵심 VIP)
C1013768510,379,427,3.0,517529.7916945226,172509.93056484088,4,4,4,12,Champions (핵심 VIP)
C1014350741,326,480,4.0,551359.0497921782,137839.76244804455,3,4,4,11,Champions (핵심 VIP)
C101505318,321,485,5.0,355946.16951025405,71189.23390205081,3,4,4,11,Champions (핵심 VIP)
C101668226,430,376,3.0,226790.0699726683,75596.68999088944,4,4,4,12,Champions (핵심 VIP)
C1017811960,309,497,5.0,1501907.1972353705,300381.4394470741,3,4,4,11,Champions (핵심 VIP)
C1019385927,427,379,4.0,958613.8868925653,239653.47172314132,4,4,4,12,Champions (핵심 VIP)
C1020795243,306,500,4.0,722650.7927923064,180662.6981980766,3,4,4,11,Champions (핵심 VIP)
C1020947183,252,554,3.0,397469.4894542602,132489.82981808673,3,4,4,11,Champions (핵심 VIP)
C1021260679,449,357,3.0,1204149.3286046607,401383.1095348869,4,4,4,12,Champions (핵심 VIP)
C1021344563,665,141,3.0,263943.0179237249,87981.00597457496,4,4,4,12,Champions (핵심 VIP)
C1021986578,325,481,4.0,1307056.653001191,326764.1632502978,3,4,4,11,Champions (핵심 VIP)
C102235010,448,358,3.0,633385.1608963902,211128.3869654634,4,4,4,12,Champions (핵심 VIP)
C1022430113,490,316,5.0,109225.32769262514,21845.06553852503,4,4,3,11,Champions (핵심 VIP)
C1022833887,307,499,4.0,10438055.30502417,2609513.8262560423,3,4,4,11,Champions (핵심 VIP)
C1022898430,422,384,3.0,44881.51449726531,14960.50483242177,4,4,3,11,Champions (핵심 VIP)
C102324971,465,341,5.0,84044.0092556596,16808.80185113192,4,4,3,11,Champions (핵심 VIP)
C1023807466,418,388,4.0,2197563.7769081388,549390.9442270347,4,4,4,12,Champions (핵심 VIP)
C1024663544,686,120,5.0,1617455.7806814897,323491.15613629797,4,4,4,12,Champions (핵심 VIP)
C1025846075,446,360,4.0,907971.3443773626,226992.83609434066,4,4,4,12,Champions (핵심 VIP)
C1027799121,450,356,3.0,45162.354608011476,15054.118202670492,4,4,3,11,Champions (핵심 VIP)
C1030567534,401,405,5.0,1120703.566965307,224140.71339306142,4,4,4,12,Champions (핵심 VIP)
C1030720613,495,311,5.0,689844.0110841445,137968.8022168289,4,4,4,12,Champions (핵심 VIP)
C1030945948,279,527,4.0,503004.9753595989,125751.24383989972,3,4,4,11,Champions (핵심 VIP)
C1030990554,276,530,4.0,1339843.3729486484,334960.8432371621,3,4,4,11,Champions (핵심 VIP)
C1032690345,424,382,3.0,429615.0105532715,143205.00351775717,4,4,4,12,Champions (핵심 VIP)
C1032758507,498,308,4.0,188923.60105947003,47230.90026486751,4,4,3,11,Champions (핵심 VIP)
C1033027418,427,379,4.0,84595.72465602649,21148.931164006623,4,4,3,11,Champions (핵심 VIP)
C1033718245,377,429,3.0,54751.92641323857,18250.642137746192,4,4,3,11,Champions (핵심 VIP)
C1034067842,737,69,3.0,2568677.9758457183,856225.9919485728,4,4,4,12,Champions (핵심 VIP)
C1034309155,377,429,4.0,969814.6326169416,242453.6581542354,4,4,4,12,Champions (핵심 VIP)
C103470602,329,477,3.0,933792.729394439,311264.24313147966,3,4,4,11,Champions (핵심 VIP)
C1035455805,764,42,4.0,177809.60843812654,44452.402109531635,4,4,3,11,Champions (핵심 VIP)
C1037096723,260,546,4.0,2069129.1211270636,517282.2802817659,3,4,4,11,Champions (핵심 VIP)
C1040351401,448,358,5.0,3850497.371112134,770099.4742224268,4,4,4,12,Champions (핵심 VIP)
C1040716225,253,553,3.0,717297.3307506257,239099.11025020856,3,4,4,11,Champions (핵심 VIP)
C1041217780,417,389,4.0,80065.80517861588,20016.45129465397,4,4,3,11,Champions (핵심 VIP)
C1041916256,446,360,4.0,417141.0757875831,104285.26894689577,4,4,4,12,Champions (핵심 VIP)
C1042263481,476,330,5.0,1003781.5752357907,200756.31504715813,4,4,4,12,Champions (핵심 VIP)
C1043110501,637,169,4.0,1564995.9912543371,391248.9978135843,4,4,4,12,Champions (핵심 VIP)
C10434694,395,411,5.0,82730.7147338213,16546.14294676426,4,4,3,11,Champions (핵심 VIP)
C1044088316,274,532,3.0,1707799.192936325,569266.3976454417,3,4,4,11,Champions (핵심 VIP)
C1044617402,427,379,3.0,406555.79067394254,135518.59689131417,4,4,4,12,Champions (핵심 VIP)
C1044939576,258,548,4.0,803603.4855295406,200900.87138238514,3,4,4,11,Champions (핵심 VIP)
C1045756680,474,332,4.0,309159.8660895459,77289.96652238647,4,4,4,12,Champions (핵심 VIP)
C1046948252,374,432,3.0,1284677.783170963,428225.9277236543,4,4,4,12,Champions (핵심 VIP)
C1048755039,551,255,4.0,115523.73388087611,28880.933470219028,4,4,3,11,Champions (핵심 VIP)
C1049056677,321,485,5.0,901372.0452468862,180274.40904937725,3,4,4,11,Champions (핵심 VIP)
C1049312761,305,501,5.0,1578802.9859484173,315760.59718968347,3,4,4,11,Champions (핵심 VIP)
C105114772,382,424,4.0,207901.31569483894,51975.328923709734,4,4,4,12,Champions (핵심 VIP)
C1052664864,251,555,5.0,2809748.2856810875,561949.6571362175,3,4,4,11,Champions (핵심 VIP)
C1052842069,374,432,5.0,102885.08672515096,20577.01734503019,4,4,3,11,Champions (핵심 VIP)
C1054768841,333,473,4.0,753558.8362688228,188389.7090672057,3,4,4,11,Champions (핵심 VIP)
C1054928489,371,435,4.0,7643842.355903899,1910960.5889759748,4,4,4,12,Champions (핵심 VIP)
C105582713,418,388,5.0,50678.33645889193,10135.667291778385,4,4,3,11,Champions (핵심 VIP)
C1055986661,732,74,3.0,827482.9655115587,275827.65517051955,4,4,4,12,Champions (핵심 VIP)
C1056637982,784,22,5.0,63358.58444750762,12671.716889501524,4,4,3,11,Champions (핵심 VIP)
C1057096168,402,404,5.0,103235.39531273031,20647.07906254606,4,4,3,11,Champions (핵심 VIP)
C105742459,298,508,3.0,443656.09770781785,147885.36590260596,3,4,4,11,Champions (핵심 VIP)
C1057789778,347,459,5.0,44558.22006385721,8911.644012771441,4,4,3,11,Champions (핵심 VIP)
C1059257045,370,436,4.0,377930.78155030013,94482.69538757503,4,4,4,12,Champions (핵심 VIP)
C105973755,474,332,5.0,126024.8607874721,25204.97215749442,4,4,3,11,Champions (핵심 VIP)
C1060540400,377,429,3.0,359427.00272865803,119809.00090955268,4,4,4,12,Champions (핵심 VIP)
C10606030,346,460,5.0,4043625.133828333,808725.0267656667,3,4,4,11,Champions (핵심 VIP)
C1060607097,442,364,4.0,98595.01735255496,24648.75433813874,4,4,3,11,Champions (핵심 VIP)
C1061988801,302,504,4.0,4657594.713157816,1164398.678289454,3,4,4,11,Champions (핵심 VIP)
C1062128173,274,532,5.0,629532.5356518696,125906.50713037392,3,4,4,11,Champions (핵심 VIP)
C1062196922,403,403,4.0,998404.8880337451,249601.22200843628,4,4,4,12,Champions (핵심 VIP)
C1062860765,354,452,4.0,961498.0460592494,240374.51151481236,4,4,4,12,Champions (핵심 VIP)
C1063240103,421,385,4.0,53457.49684136469,13364.374210341173,4,4,3,11,Champions (핵심 VIP)
C1063413923,636,170,3.0,57801.366630188146,19267.122210062716,4,4,3,11,Champions (핵심 VIP)
C1065577601,330,476,5.0,598708.6310164435,119741.7262032887,3,4,4,11,Champions (핵심 VIP)
C1065728591,494,312,5.0,158937.02396621127,31787.404793242255,4,4,3,11,Champions (핵심 VIP)
C1065875118,370,436,4.0,755512.118205238,188878.0295513095,4,4,4,12,Champions (핵심 VIP)
C1066001308,422,384,5.0,145522.30112879246,29104.460225758492,4,4,3,11,Champions (핵심 VIP)
C106676758,405,401,3.0,430451.56691134034,143483.85563711345,4,4,4,12,Champions (핵심 VIP)
C1067001722,355,451,5.0,469542.94638696715,93908.58927739343,4,4,4,12,Champions (핵심 VIP)
C1067388135,279,527,5.0,211940.43106510479,42388.08621302096,3,4,4,11,Champions (핵심 VIP)
C1067639006,252,554,4.0,407376.3519913375,101844.08799783437,3,4,4,11,Champions (핵심 VIP)
C1068543561,449,357,5.0,10179879.00028986,2035975.8000579719,4,4,4,12,Champions (핵심 VIP)
C1069212365,765,41,3.0,687107.2080874048,229035.73602913495,4,4,4,12,Champions (핵심 VIP)
C1070133074,396,410,3.0,2257179.564251925,752393.188083975,4,4,4,12,Champions (핵심 VIP)
C1071115542,357,449,3.0,64881.33842593005,21627.11280864335,4,4,3,11,Champions (핵심 VIP)
C1071228259,345,461,5.0,777371.4583282988,155474.29166565975,3,4,4,11,Champions (핵심 VIP)
C1071613961,260,546,5.0,877975.7899834441,175595.15799668882,3,4,4,11,Champions (핵심 VIP)
C1071790559,346,460,3.0,1000440.2236451448,333480.0745483816,3,4,4,11,Champions (핵심 VIP)
C1071905141,259,547,5.0,735883.4787330086,147176.69574660173,3,4,4,11,Champions (핵심 VIP)
C1072363771,500,306,5.0,1030928.7211072257,206185.74422144514,4,4,4,12,Champions (핵심 VIP)
C1072957353,452,354,3.0,214865.2297430079,71621.74324766929,4,4,4,12,Champions (핵심 VIP)
C1073858744,428,378,4.0,1143191.0008839872,285797.7502209968,4,4,4,12,Champions (핵심 VIP)
C107417660,370,436,4.0,72210.37821566066,18052.594553915165,4,4,3,11,Champions (핵심 VIP)
C1074984302,356,450,4.0,828200.7023178029,207050.17557945073,4,4,4,12,Champions (핵심 VIP)
C1076873160,378,428,4.0,558908.3913394965,139727.09783487412,4,4,4,12,Champions (핵심 VIP)
C1077562635,282,524,5.0,1034067.3447351108,206813.46894702216,3,4,4,11,Champions (핵심 VIP)
C1077723951,301,505,4.0,283896.8213022379,70974.20532555948,3,4,4,11,Champions (핵심 VIP)
C1078059999,353,453,5.0,1735679.3558844964,347135.8711768993,4,4,4,12,Champions (핵심 VIP)
C1078463419,721,85,3.0,456070.44607395225,152023.48202465076,4,4,4,12,Champions (핵심 VIP)
C1078601865,404,402,4.0,1416624.3448445057,354156.0862111264,4,4,4,12,Champions (핵심 VIP)
C1078749980,380,426,4.0,709446.522359655,177361.63058991375,4,4,4,12,Champions (핵심 VIP)
C1078900748,369,437,3.0,385570.9270858221,128523.6423619407,4,4,4,12,Champions (핵심 VIP)
C1079204673,278,528,3.0,384092.2680359216,128030.75601197388,3,4,4,11,Champions (핵심 VIP)
C1079322324,283,523,4.0,746226.4480320741,186556.61200801854,3,4,4,11,Champions (핵심 VIP)
C1079771688,303,503,5.0,736841.8141902201,147368.362838044,3,4,4,11,Champions (핵심 VIP)
C1080631491,379,427,5.0,262282.46347414964,52456.492694829925,4,4,4,12,Champions (핵심 VIP)
C1080663170,400,406,5.0,125335.58328463243,25067.116656926486,4,4,3,11,Champions (핵심 VIP)
C1082866573,349,457,3.0,131300.09827320738,43766.69942440246,4,4,3,11,Champions (핵심 VIP)
C1083389069,471,335,4.0,324861.73545602115,81215.43386400529,4,4,4,12,Champions (핵심 VIP)
C1083576566,427,379,3.0,169870.16905303526,56623.389684345086,4,4,3,11,Champions (핵심 VIP)
C1084148428,275,531,4.0,812072.2139413838,203018.05348534594,3,4,4,11,Champions (핵심 VIP)
C1084236375,667,139,5.0,403861.7402061495,80772.34804122991,4,4,4,12,Champions (핵심 VIP)
C1085170099,355,451,4.0,68440.4814494793,17110.120362369824,4,4,3,11,Champions (핵심 VIP)
C1085215248,376,430,4.0,38789941.06320176,9697485.26580044,4,4,4,12,Champions (핵심 VIP)
C1086009967,662,144,4.0,746739.7849984816,186684.9462496204,4,4,4,12,Champions (핵심 VIP)
C108722591,284,522,4.0,1429673.4109978557,357418.3527494639,3,4,4,11,Champions (핵심 VIP)
C1087290567,379,427,3.0,925660.9998397757,308553.6666132586,4,4,4,12,Champions (핵심 VIP)
C1089150364,322,484,5.0,1707511.6877720796,341502.3375544159,3,4,4,11,Champions (핵심 VIP)
C1090035338,404,402,5.0,264428.77077764564,52885.754155529125,4,4,4,12,Champions (핵심 VIP)
C1090773527,254,552,5.0,922006.7811695988,184401.35623391977,3,4,4,11,Champions (핵심 VIP)
C109300570,403,403,4.0,342469.0928712493,85617.27321781233,4,4,4,12,Champions (핵심 VIP)
C1093027882,426,380,4.0,361574.0944732478,90393.52361831196,4,4,4,12,Champions (핵심 VIP)
C1093983453,475,331,4.0,4103705.417541783,1025926.3543854457,4,4,4,12,Champions (핵심 VIP)
C1095743741,330,476,3.0,304196.28587089106,101398.76195696369,3,4,4,11,Champions (핵심 VIP)
C1098403327,324,482,5.0,612270.5273752771,122454.10547505543,3,4,4,11,Champions (핵심 VIP)
C109881759,350,456,3.0,104071.88081954041,34690.62693984681,4,4,3,11,Champions (핵심 VIP)
C1099553398,400,406,3.0,474992.8429668555,158330.9476556185,4,4,4,12,Champions (핵심 VIP)
C11018848,373,433,3.0,38880285.41205206,12960095.137350686,4,4,4,12,Champions (핵심 VIP)
C110253488,403,403,4.0,900544.5549583263,225136.13873958157,4,4,4,12,Champions (핵심 VIP)
C1102606426,449,357,5.0,380872.8957837329,76174.57915674658,4,4,4,12,Champions (핵심 VIP)
C1102610699,350,456,4.0,67285.38731331535,16821.34682832884,4,4,3,11,Champions (핵심 VIP)
C1103766085,379,427,4.0,816711.0579130683,204177.76447826708,4,4,4,12,Champions (핵심 VIP)
C1104054779,322,484,4.0,941002.5947980601,235250.64869951503,3,4,4,11,Champions (핵심 VIP)
C1105739792,424,382,4.0,168665.48848980787,42166.37212245197,4,4,3,11,Champions (핵심 VIP)
C110806775,256,550,5.0,1223031.9395223446,244606.38790446892,3,4,4,11,Champions (핵심 VIP)
C1108267851,445,361,4.0,1370110.1366123958,342527.53415309894,4,4,4,12,Champions (핵심 VIP)
C1111582892,467,339,4.0,79301.26521504574,19825.316303761436,4,4,3,11,Champions (핵심 VIP)
C1114750995,258,548,3.0,368124.2701823567,122708.09006078557,3,4,4,11,Champions (핵심 VIP)
C1114969777,475,331,4.0,126617.04039611598,31654.260099028994,4,4,3,11,Champions (핵심 VIP)
C1115048048,308,498,5.0,5875016.920663396,1175003.384132679,3,4,4,11,Champions (핵심 VIP)
C1115633733,450,356,5.0,1597518.819675526,319503.76393510523,4,4,4,12,Champions (핵심 VIP)
C1115937242,278,528,3.0,797809.9045910026,265936.63486366754,3,4,4,11,Champions (핵심 VIP)
C1116852079,262,544,4.0,1046863.2529829895,261715.81324574738,3,4,4,11,Champions (핵심 VIP)
C1117114274,451,355,5.0,1342604.4840637478,268520.89681274956,4,4,4,12,Champions (핵심 VIP)
C1117170461,499,307,5.0,60446.67573071775,12089.335146143549,4,4,3,11,Champions (핵심 VIP)
C1117619120,586,220,5.0,324460.659032536,64892.1318065072,4,4,4,12,Champions (핵심 VIP)
C1117741135,475,331,4.0,51889.829283627885,12972.457320906971,4,4,3,11,Champions (핵심 VIP)
C1118307708,466,340,5.0,1121474.8902987645,224294.9780597529,4,4,4,12,Champions (핵심 VIP)
C1118579946,448,358,3.0,404552.89298831654,134850.96432943884,4,4,4,12,Champions (핵심 VIP)
C1118964455,255,551,4.0,1415180.0508877984,353795.0127219496,3,4,4,11,Champions (핵심 VIP)
C1120227012,256,550,3.0,598827.411990131,199609.13733004368,3,4,4,11,Champions (핵심 VIP)
C1120250532,256,550,4.0,348064.92913509265,87016.23228377316,3,4,4,11,Champions (핵심 VIP)
C1120408335,473,333,4.0,902108.4901818123,225527.12254545308,4,4,4,12,Champions (핵심 VIP)
C1120423593,728,78,4.0,1604953.0214790856,401238.2553697714,4,4,4,12,Champions (핵심 VIP)
C1123486746,420,386,4.0,480364.94088839163,120091.23522209791,4,4,4,12,Champions (핵심 VIP)
C1124483285,322,484,4.0,344943.19045840844,86235.79761460211,3,4,4,11,Champions (핵심 VIP)
C1125167217,498,308,5.0,339900.3207323819,67980.06414647638,4,4,4,12,Champions (핵심 VIP)
C1125321967,260,546,4.0,544665.7268679257,136166.43171698143,3,4,4,11,Champions (핵심 VIP)
C1126570499,324,482,3.0,291615.0464995917,97205.0154998639,3,4,4,11,Champions (핵심 VIP)
C1127157918,396,410,3.0,534907.7911723321,178302.59705744404,4,4,4,12,Champions (핵심 VIP)
C1127323012,661,145,4.0,1403583.6957984504,350895.9239496126,4,4,4,12,Champions (핵심 VIP)
C1127637275,260,546,4.0,284400.4670178973,71100.11675447432,3,4,4,11,Champions (핵심 VIP)
C1128627300,524,282,3.0,75138.55811813188,25046.186039377295,4,4,3,11,Champions (핵심 VIP)
